date,description,amount,type,merchant
2026-04-07,UPI-NETFLIX-SUBSCRIPTION,499,expense,Netflix
2026-04-07,UPI-UBER-RIDE,299.77,expense,Uber
2026-04-08,UPI-SPOTIFY-SUBSCRIPTION,119,expense,Spotify
2026-04-08,UPI-SWIGGY-ORDER,378.08,expense,Swiggy
2026-04-08,UPI-OLA-RIDE,284.0,expense,Ola
2026-04-12,BILLPAY ELECTRICITY BOARD,912.51,expense,Electricity Board
2026-04-12,UPI-ZEPTO-ORDER,265.37,expense,Zepto
2026-04-12,POS AMAZON PAYMENTS,3228.27,expense,Amazon
2026-04-13,UPI-SWIGGY-ORDER,481.22,expense,Swiggy
2026-04-14,UPI-OLA-RIDE,340.51,expense,Ola
2026-04-16,UPI-OLA-RIDE,145.22,expense,Ola
2026-04-18,UPI-UBER-RIDE,260.65,expense,Uber
2026-04-18,UPI-JIO-RECHARGE,406.51,expense,Jio
2026-04-19,UPI-OLA-RIDE,160.47,expense,Ola
2026-04-20,UPI-ZOMATO-ORDER,634.28,expense,Zomato
2026-04-20,POS APOLLO PHARMACY,238.26,expense,Apollo Pharmacy
2026-04-24,UPI-ZOMATO-ORDER,471.74,expense,Zomato
2026-04-24,UPI-OLA-RIDE,322.17,expense,Ola
2026-04-25,UPI-ZOMATO-ORDER,741.13,expense,Zomato
2026-04-27,UPI-ZEPTO-ORDER,521.11,expense,Zepto
2026-05-01,NEFT SALARY CREDIT XYZCORP,55000,income,Salary
2026-05-03,UPI-RENT-LANDLORD,15000,expense,Rent
2026-05-03,UPI-OLA-RIDE,324.33,expense,Ola
2026-05-04,POS FLIPKART PAYMENTS,3620.46,expense,Flipkart
2026-05-05,AUTO DEBIT EMI HDFC,7500,expense,EMI
2026-05-07,UPI-NETFLIX-SUBSCRIPTION,499,expense,Netflix
2026-05-08,UPI-SPOTIFY-SUBSCRIPTION,119,expense,Spotify
2026-05-08,UPI-UBER-RIDE,145.16,expense,Uber
2026-05-08,POS AMAZON PAYMENTS,4404.82,expense,Amazon
2026-05-09,UPI-OLA-RIDE,162.44,expense,Ola
2026-05-12,BILLPAY ELECTRICITY BOARD,1037.51,expense,Electricity Board
2026-05-12,UPI-SWIGGY-ORDER,552.11,expense,Swiggy
2026-05-13,UPI-ZOMATO-ORDER,743.71,expense,Zomato
2026-05-14,POS AMAZON PAYMENTS,4203.06,expense,Amazon
2026-05-15,POS BARBEQUE NATION DINEOUT,2500,expense,Dine-Out
2026-05-15,UPI-UBER-RIDE,212.35,expense,Uber
2026-05-16,UPI-OLA-RIDE,151.99,expense,Ola
2026-05-18,UPI-UBER-RIDE,104.67,expense,Uber
2026-05-18,UPI-UBER-RIDE,371.01,expense,Uber
2026-05-18,UPI-AIRTEL-RECHARGE,555.59,expense,Airtel
2026-05-20,UPI-ZEPTO-ORDER,252.68,expense,Zepto
2026-05-20,POS APOLLO PHARMACY,1183.55,expense,Apollo Pharmacy
2026-05-21,UPI-ZOMATO-ORDER,247.59,expense,Zomato
2026-05-21,UPI-ZEPTO-ORDER,484.17,expense,Zepto
2026-05-22,UPI-ZOMATO-ORDER,655.71,expense,Zomato
2026-05-23,UPI-ZEPTO-ORDER,538.82,expense,Zepto
2026-05-24,UPI-SWIGGY-ORDER,248.04,expense,Swiggy
2026-05-25,UPI-SWIGGY-ORDER,287.43,expense,Swiggy
2026-05-25,UPI-UBER-RIDE,138.23,expense,Uber
2026-06-01,NEFT SALARY CREDIT XYZCORP,55000,income,Salary
2026-06-02,UPI-UBER-RIDE,199.9,expense,Uber
2026-06-02,UPI-UBER-RIDE,259.41,expense,Uber
2026-06-03,UPI-RENT-LANDLORD,15000,expense,Rent
2026-06-03,UPI-SWIGGY-ORDER,697.88,expense,Swiggy
2026-06-03,UPI-UBER-RIDE,285.81,expense,Uber
2026-06-05,AUTO DEBIT EMI HDFC,7500,expense,EMI
2026-06-05,UPI-SWIGGY-ORDER,596.99,expense,Swiggy
2026-06-07,UPI-NETFLIX-SUBSCRIPTION,649,expense,Netflix
2026-06-08,UPI-SPOTIFY-SUBSCRIPTION,119,expense,Spotify
2026-06-08,UPI-OLA-RIDE,124.77,expense,Ola
2026-06-10,UPI-GYM-FITNESSCLUB,1500,expense,Gym
2026-06-10,UPI-UBER-RIDE,370.93,expense,Uber
2026-06-12,BILLPAY ELECTRICITY BOARD,1011.61,expense,Electricity Board
2026-06-13,UPI-OLA-RIDE,358.69,expense,Ola
2026-06-14,POS AMAZON PAYMENTS,1217.44,expense,Amazon
2026-06-15,POS BARBEQUE NATION DINEOUT,3100,expense,Dine-Out
2026-06-17,UPI-UBER-RIDE,106.5,expense,Uber
2026-06-17,UPI-UBER-RIDE,336.89,expense,Uber
2026-06-18,UPI-AIRTEL-RECHARGE,391.37,expense,Airtel
2026-06-19,UPI-ZEPTO-ORDER,338.81,expense,Zepto
2026-06-19,UPI-UBER-RIDE,306.91,expense,Uber
2026-06-21,UPI-ZOMATO-ORDER,387.38,expense,Zomato
2026-06-21,UPI-ZOMATO-ORDER,235.72,expense,Zomato
2026-06-23,UPI-OLA-RIDE,134.89,expense,Ola
2026-06-26,UPI-ZOMATO-ORDER,390.7,expense,Zomato
2026-06-26,UPI-OLA-RIDE,172.72,expense,Ola
2026-07-01,NEFT SALARY CREDIT XYZCORP,55000,income,Salary
2026-07-03,UPI-RENT-LANDLORD,15000,expense,Rent
2026-07-04,UPI-ZEPTO-ORDER,680.87,expense,Zepto
2026-07-05,AUTO DEBIT EMI HDFC,7500,expense,EMI
2026-07-05,UPI-ZEPTO-ORDER,446.11,expense,Zepto
2026-07-05,UPI-ZEPTO-ORDER,245.99,expense,Zepto
2026-07-07,UPI-NETFLIX-SUBSCRIPTION,649,expense,Netflix
2026-07-07,UPI-OLA-RIDE,159.22,expense,Ola
2026-07-07,UPI-OLA-RIDE,128.41,expense,Ola
2026-07-08,UPI-SPOTIFY-SUBSCRIPTION,119,expense,Spotify
2026-07-08,UPI-UBER-RIDE,269.62,expense,Uber
2026-07-09,UPI-ZEPTO-ORDER,500.75,expense,Zepto
2026-07-10,UPI-GYM-FITNESSCLUB,1500,expense,Gym
2026-07-10,UPI-OLA-RIDE,181.69,expense,Ola
2026-07-12,BILLPAY ELECTRICITY BOARD,1268.24,expense,Electricity Board
2026-07-12,UPI-UBER-RIDE,344.99,expense,Uber
2026-07-12,UPI-OLA-RIDE,135.75,expense,Ola
2026-07-13,UPI-ZOMATO-ORDER,507.53,expense,Zomato
2026-07-13,UPI-UBER-RIDE,284.79,expense,Uber
2026-07-14,UPI-OLA-RIDE,361.06,expense,Ola
2026-07-15,POS BARBEQUE NATION DINEOUT,3700,expense,Dine-Out
2026-07-15,UPI-ZEPTO-ORDER,300.85,expense,Zepto
2026-07-18,UPI-SWIGGY-ORDER,558.17,expense,Swiggy
2026-07-18,UPI-AIRTEL-RECHARGE,496.45,expense,Airtel
2026-07-19,UPI-ZOMATO-ORDER,367.2,expense,Zomato
2026-07-20,UPI-UBER-RIDE,111.25,expense,Uber
2026-07-22,UPI-ZOMATO-ORDER,507.85,expense,Zomato
2026-07-22,UPI-UDEMY-COURSE,799,expense,Udemy
2026-07-24,POS AMAZON PAYMENTS,1567.22,expense,Amazon
2026-07-25,UPI-SWIGGY-ORDER,666.66,expense,Swiggy
2026-07-25,UPI-UBER-RIDE,92.7,expense,Uber
2026-07-26,UPI-UBER-RIDE,283.68,expense,Uber
2026-07-26,POS FLIPKART PAYMENTS,3708.94,expense,Flipkart
2026-07-27,UPI-OLA-RIDE,267.39,expense,Ola
2026-08-01,NEFT SALARY CREDIT XYZCORP,55000,income,Salary
2026-08-01,UPI-ZEPTO-ORDER,675.51,expense,Zepto
2026-08-03,UPI-RENT-LANDLORD,15000,expense,Rent
2026-08-04,UPI-UBER-RIDE,168.98,expense,Uber
2026-08-04,UPI-UBER-RIDE,364.06,expense,Uber
2026-08-04,POS FLIPKART PAYMENTS,3988.67,expense,Flipkart
2026-08-05,AUTO DEBIT EMI HDFC,7500,expense,EMI
2026-08-05,UPI-OLA-RIDE,123.47,expense,Ola
2026-08-06,UPI-ZEPTO-ORDER,722.1,expense,Zepto
2026-08-07,UPI-NETFLIX-SUBSCRIPTION,799,expense,Netflix
2026-08-07,UPI-SWIGGY-ORDER,374.35,expense,Swiggy
2026-08-07,UPI-OLA-RIDE,236.57,expense,Ola
2026-08-08,UPI-SPOTIFY-SUBSCRIPTION,119,expense,Spotify
2026-08-09,UPI-ZEPTO-ORDER,607.18,expense,Zepto
2026-08-09,UPI-UBER-RIDE,116.77,expense,Uber
2026-08-09,UPI-UBER-RIDE,304.96,expense,Uber
2026-08-10,UPI-GYM-FITNESSCLUB,1500,expense,Gym
2026-08-10,UPI-ZOMATO-ORDER,244.89,expense,Zomato
2026-08-10,UPI-ZEPTO-ORDER,454.6,expense,Zepto
2026-08-10,UPI-UBER-RIDE,362.29,expense,Uber
2026-08-11,UPI-UBER-RIDE,274.76,expense,Uber
2026-08-12,BILLPAY ELECTRICITY BOARD,1238.35,expense,Electricity Board
2026-08-14,UPI-OLA-RIDE,102.79,expense,Ola
2026-08-15,POS BARBEQUE NATION DINEOUT,4600,expense,Dine-Out
2026-08-15,POS FLIPKART PAYMENTS,1720.76,expense,Flipkart
2026-08-16,POS AMAZON PAYMENTS,1298.29,expense,Amazon
2026-08-17,UPI-SWIGGY-ORDER,672.31,expense,Swiggy
2026-08-18,UPI-OLA-RIDE,252.66,expense,Ola
2026-08-18,UPI-AIRTEL-RECHARGE,579.56,expense,Airtel
2026-08-20,UPI-UBER-RIDE,298.11,expense,Uber
2026-08-23,UPI-UBER-RIDE,248.22,expense,Uber
2026-08-25,UPI-ZEPTO-ORDER,354.11,expense,Zepto
